Name,Website,Institution,Klassifikation,Kurz Beschreibung,Schlagwörter,Land,Sprache,Software / Modell / Format,Lizenz,Open access,Aktuell/gepflegt,Betrifft Konservierung/Restaurierung,Betrifft Denkmalschutz
AATA Online,https://www.getty.edu/conservation/publications_resources/aata/index.html,Getty Conservation Institute,Repositorium,"AATA Online ist eine kostenlose Forschungsdatenbank mit internationalen Abstracts von Literatur zur Bewahrung und Konservierung des materiellen Kulturerbes. Es enthält über 148.000 Einträge und wird jährlich durch regelmäßige Aktualisierungen um etwa 4.000 neue Einträge erweitert. Die Abstracts sind nach Fachdisziplin, Technik und Material kategorisiert.","Technik/Technologie, Material, Fachtext, Kulturgut",USA,diverse,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © J. Paul Getty Trust,TRUE,TRUE,TRUE,FALSE
Abbreviations and Phrases on Printed Images 1500–1900,https://www.delineavit.nl/stijnmans-terms-in-print-addresses/,Ad Stijnman,Vokabular,"Eine Liste von Abkürzungen und Phrasen auf Schriften und Bildern von 1500 bis 1900, sowie ein Glossar der verschiedenen Fachbegriffe mit Entsprechungen in unterschiedlichen Sprachen.","Fachtext, Papier, Grafikobjekt",NL,englisch,PDF,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Ad Stijnman,TRUE,FALSE,TRUE,FALSE
"ABCD ""extension for geosciences"" (EFG)",https://github.com/tdwg/efg; https://www.tdwg.org/community/esp/efg/ ,Biodiversity Information Standards TDWG,Datenschema,"Die ABCD Extension EFG (Extension for Geoscience) ist eine fachspezifische Erweiterung des ABCD-Standards um Begriffe für geowissenschaftliche Sammlungsobjekte (z.B. Fossilien, Gesteine, Minerale). Die EFG liefert ein speziellisiertes Schema bzw. Vokabular für die standardisierte Beschreibung solcher Objekte und erleichtert den standardisierten Datenaustausch. ","Metadaten, Stein, Datenaustausch, Standard, Empfehlung/ Leitfaden, Material, Mineral","DE, DNK",englisch,XSD,CC BY 4.0,TRUE,TRUE,TRUE,TRUE
ADeX - Archäologischer DateneXport,https://www.landesarchaeologien.de/kommissionen/archaeologie-und-informationssysteme/projekte-8,Verband der Landesn in der Bundesrepublik Deutschland e. V.,Datenschema,"ADeX ist ein Standard für den Austausch archäologischer Fachdaten. ADeX beschreibt ein minimales Datenaustauschformat mit essentiellen Attributen zu archäologischer Fundstellen, Untersuchungsflächen oder Schutzflächen, um den länderübergreifenden Austausch von Daten zu erleichtern.","Datenaustausch, Metadaten, Standard, immobiles Kulturgut, archäologischer Kontext",DE,deutsch,CSV+GIS (shp oder mid),"Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © Verband der Landesn, Alle Rechte beim Herausgeber",TRUE,TRUE,FALSE,TRUE
AIC Lexicon Terms,https://www.conservation-wiki.com/wiki/Lexicon,American Institute for Conservation,Vokabular,"Das AIC-Lexikon ist ein Glossar von Begriffen innerhalb des AIC Wiki. Der Schwerpunkt des Lexikons liegt auf Begriffen, die bei der Untersuchung von Kunstwerken und Artefakten verwendet werden, sowie auf Begriffen, die zur Beschreibung von Konservierungs-/Restaurierungsmaßnahmen verwendet werden. Das Glossar enthält neben einer Begriffsdefinition auch Synonyme und Übersetzungen sowie weiterführende Literatur. Die Beiträge sind von verschiedenen Fachgruppen, Netzwerken und Ausschüssen erstellt worden und beruhen auf Community-Beteiligung.","Analyse/Untersuchung, Methode, Zustandbeschreibung, Schaden",diverse,englisch,MediaWiki,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,TRUE,TRUE,TRUE
AIC Wiki,https://www.conservation-wiki.com/wiki/Main_Page,American Institute for Conservation,Fachdokumentation,"Das AIC Wiki ist ein kollaboratives, fachlich orientiertes Online‑Nachschlagewerk aus dem Bereich der Objektkonservierung und -restaurierung. Das Wiki wird vom American Institute for Conservation (AIC) getagen und deckt ein breites Spektrum an Themen ab, darunter Behandlungsmethoden verschiedener Materialien, präventive Maßnahmen sowie Ausbildung und Weiterbildung. Die Beiträge sind von verschiedenen Fachgruppen, Netzwerken und Ausschüssen erstellt worden und beruhen auf Community-Beteiligung.","Empfehlung/ Leitfaden, Fachtext, Analyse/Untersuchung, Material, Methode, Arbeitsschutz, Lehrmaterial, Sammlungspflege, Zustandbeschreibung, Technik/Technologie, Gemälde, Glas, Holz, Papier, Textil, Metall, Architektur/Bauwerk, Fotografie, archäologischer Kontext, Keramik, Chemie, Herstellung, Malerei, Objektbeschreibung, Schaden",diverse,englisch,MediaWiki,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt. © AIC und Autoren,TRUE,TRUE,TRUE,TRUE
Alle Burgen - Die Burgendatenbank,https://www.alleburgen.de/index.php,Andreas Hein (privat),Repositorium,"Online-Datenbank mit über 8.000 Einträgen zu Burgen, Schlössern, Herrensitzen und anderen historischen Bauwerken im deutschsprachigen Raum. Die Plattform bietet Informationen zur Baugeschichte, Lage, heutigen Nutzung, teils mit Bildern, Karten und Literaturhinweisen.","Architektur/Bauwerk, Medienobjekt, immobiles Kulturgut, Objektbeschreibung",DE,deutsch,HTML,Keine spezifische Lizenz angegeben; urheberrechtlich geschützt,TRUE,TRUE,TRUE,TRUE
AMH Thesauri,https://uri.gbv.de/terminology/?search=Arch%C3%A4ologisches%20Museum%20Hamburg,Archäologisches Museum Hamburg - Stadtmuseum Hamburg/Helms-Museum,Vokabular,"Sammlung kontrollierter Vokabulare des Archäologischen Museum Hamburg zur standartisierten Beschreibung von u.a. Objektbezeichnungen, Materialien, Datierung, Personen, Fundplätze, Technik. Bereitgestellt werden die Vokabulare über den Terminologyservice der VZG","Material, Objektbeschreibung, Technik/Technologie, Datierung, immobiles Kulturgut, Zustandbeschreibung, archäologischer Kontext",DE,deutsch,"JSKOS, TURTLE, RDFXML, NTRIPLES",CC BY-NC-ND 4.0,TRUE,TRUE,TRUE,TRUE
FISH Archaeological event type thesaurus ,https://collectionstrust.org.uk/resource/archaeological-event-type-thesaurus-archaeological-event-type-thesaurus-fish/,Collection Trust (ehemalig Museums Documentation Association (MDA)),Vokabular,"Der Archaeological event type thesaurus ist ein hierarchischer Thesaurus für die Dokumentation archäologischer und baudenkmalpflegerischer Ereignisse (z.B. Grabung, Überwachung, Probennahme und nicht-invasive Methoden). Er ist als LOD-Ressource verfügbar und dient der einheitlichen Beschreibung von Feld- und Ausgrabungsaktivitäten.","Analyse/Untersuchung, Architektur/Bauwerk, Tool/Software, Datenaustausch, archäologischer Kontext",GBR,englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",Open Government Licence v3,TRUE,TRUE,TRUE,TRUE
FISH Archaeological objects thesaurus,https://collectionstrust.org.uk/resource/archaeological-objects-thesaurus-fish/,Collection Trust (ehemalig Museums Documentation Association (MDA))/ Forum on Information Standards in Heritage (FISH),Vokabular,"Der Archaeological objects thesaurus ist ein hierarchischer Thesaurus, mit standardisierten Benennungen physischer archäologischer Objekte (bewegliche Artefakte sowie Befunde). Der Thesaurus dient der vereinheitlichten Erfassung und Dokumentation archäologischer Objekte und materieller Überreste verschiedenster Perioden im Rahmen von Feldforschung, Sammlungs- und Datenmanagement.","archäologischer Kontext, Kulturgut, Tool/Software, Datenaustausch, Datenmanagment, Objektbeschreibung","GBR, IRL",englisch,"PDF, RDF/SKOS, NTURTLE, JSON, XML, CSV",CC-BY-3.0,TRUE,TRUE,TRUE,TRUE
