Schlagwörter,,URI
Analyse/Untersuchung,,
Arbeitsschutz,,
archäologischer Kontext,,
Architektur/Bauwerk,,
Chemie,,
Datenaustausch,,
Datenintegration,,
Datenmanagment,,
Datenmodell,,
Datierung,,
Empfehlung/ Leitfaden,,
Fachtext,,
Farbstoffe/Pigmente,,
Fotografie,,
Gemälde,,
Glas,,
Grafikobjekt,,
Handwerk,,
Herstellung,,
Holz,,
immobiles Kulturgut,,
Keramik,,
Kulturgut,,
Kunststoff,,
Langzeitarchivierung,,
Leder,,
Lehrmaterial,,
Malerei,,
Material,,
Medienobjekt,,
Metadaten,,
Metall,,
Methode,,
Mineral,,
Mosaik,,
Objektbeschreibung,,
Objektlagerung,,
Objekttransport,,
Papier,,
Präventive Konservierung,,
Sammlungspflege,,
Schaden,,
Standard,,
Stein,,
Technik/Technologie,,
Textil,,
Tool/Software,,
Wandmalerei,,
Zustandbeschreibung,,
